bronzer , 11547.358398, 704466496.000000, 633421376.000000, 743752576.000000, 
bronzer , 11802.938477, 681905792.000000, 599406912.000000, 2056065280.000000, 
butterfly , 4142.080078, 1977871616.000000, 502161984.000000, 41263271936.000000, 
butterfly , -65509.609375, 2005991424.000000, 499524416.000000, 37727244288.000000, 
deer , -26384.015625, 2677034240.000000, 1060678848.000000, -66952278016.000000, 
deer , 17343.070312, 2485566208.000000, 885600896.000000, 67265597440.000000, 
hairtie , 39.852295, 59049856.000000, 51168228.000000, 129832512.000000, 
hairtie , 64.770508, 79724024.000000, 66597268.000000, 144390288.000000, 
lipstick , 1091.708008, 336634848.000000, 31980466.000000, 12059043.000000, 
remote , -431.984375, 4112185600.000000, 911387520.000000, 5081514496.000000, 
remote , 45973.984375, 3881478400.000000, 785685632.000000, 880906944.000000, 
stickynote , -2763.513672, 1306394880.000000, 1269546752.000000, 24980776.000000, 
stickynote , 36266.820312, 1209325824.000000, 1197914112.000000, 1348640640.000000, 
whiteout , 8983.969727, 529713344.000000, 182395712.000000, -9268294656.000000, 
whiteout , 3255.928711, 537502912.000000, 179086880.000000, -8875159552.000000, 
wrench , 232.789062, 154080032.000000, 8933033.000000, -3625782784.000000, 
wrench , -285.707031, 153993872.000000, 9713270.000000, -3926363648.000000,  
bird , 10458.587891, 1588502528.000000, 488131616.000000, -164455514112.000000, 
bird , -29244.599609, 1469396096.000000, 431672576.000000, -151612096512.000000,  
